Easting,Northing,Name,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,,
,,,,,,,,,,,,,
489223,8475741,Mchinji Water Office,Borehole Construction Fund,,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
509098,8486845,Mnkhota/Mozi,Sawa Group,12/5/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
519763,8483561,Kalinde,Sawa Group,6/20/2022,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
520013,8505198,Chimatiro,Sawa Group,10/24/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
522216,8565482,Chisazima,Sawa Group,11/16/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
523423,8485242,Fiose,Sawa Group,11/30/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
527762,8928500,Chitipa wellfield,Borehole Construction Fund,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,
530732,8927913,Chitipa water office,Borehole Construction Fund,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,
530736,8927908,Chitipa water office,,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,
532092,8724713,Echilumbeni,Borehole Construction Fund,,,Mzimba,0.00001,0.00001,0.00001,Dry well ,Functional,,
532180,8547540,Linyangwa sch,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
535018,8514733,Chikwetsa,Sawa Group,12/16/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,
535934,8553053,Chimangeni,Sawa Group,10/19/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
536282,8595838,Mavize,Sawa Group,11/18/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
538702,8497861,Nkhota/Mkumpha,Sawa Group,12/12/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
541375,8449051,Kakuyu dam,Borehole Construction Fund,,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
541760,8449919,Chileka Water Office,,,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
543637,8528756,Lisandwa sch,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
544179,8521934,Ntaya/Mteka,Sawa Group,12/3/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
544770,8907186,Mwenechendo Water Office,Borehole Construction Fund,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,
545245,8449634,Mkwambara,Sawa Group,9/12/2016,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
545870,8760737,Geza,Sawa Group,8/23/2016,,Mzimba,0.00001,0.00001,0.00001,Dry well ,Functional,,
546253,8584052,Kasasanya sch,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
546282,8474686,Chiphukusi,Sawa Group,9/22/2016,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
546714,8470578,Kakoka,Sawa Group,9/16/2016,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
547592,8511462,Mchemela  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
547641,8499662,Chibanda  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
547700,8501176,Karonga  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
547706,8500483,Masantchi  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
547745,8498821,Demba  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
547809,8511715,Chapenya  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548011,8508294,Mondwe Trading Centre  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548109,8512535,Kaputa  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548231,8507569,Mondwe school  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548251,8555427,Mwalawanyenje,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,
548310,8498116,James  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548518,8508576,Siwinda  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548533,8497927,Kapalanyerere Bore,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548569,8504482,Mdanjiri  school  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548621,8468422,Mkoloweko,Sawa Group,9/18/2016,,Lilongwe,0.00001,0.00001,0.00001,Dry well ,Functional,,
548802,8496453,Yabonga  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548819,8494779,Katembo   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548931,8494384,Mphamba  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
548969,8495541,Simwanjere  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549025,8497511,Kadzisake  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549072,8512570,Kalumo ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549316,8493796,Paima  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549363,8496799,Mgomo  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549406,8488082,Mphepo   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549434,8493260,Kabadwa   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549523,8487979,Kalindang'oma  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549631,8497240,Kamakhula  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549714,8492257,Chisepo 1 ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549725,8495878,Katawa,Sawa Group,8/18/2016,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549743,8506189,Nkhongwa  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549752,8491519,Sani   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549953,8491005,Chibanda  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
549999,8490788,Chimamba  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550056,8496309,Kapolozimu  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550165,8488644,Ng'onga ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550169,8496036,Katawa  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550235,8487379,Kalombo  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550288,8525708,Mphamba pump 2,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550294,8505117,Kamata  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550298,8526710,Chilinkholi ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550322,8496866,Chimgondolo  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550322,8502668,Longwe Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550338,8497405,Kameta  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
